scenario,algorithm,algo_label,run_id,n_flows,end_mape,end_jfi_c,duration_s,change1_mape_at_change,change1_recovery_flows,change1_recovery_time_s,change1_mape_at_n10,change1_mape_at_n30,change1_mape_at_n50,change1_mape_at_n100,change1_mape_at_n200,change1_cde,change1_n_post_change,change2_mape_at_change,change2_recovery_flows,change2_recovery_time_s,change2_mape_at_n10,change2_mape_at_n30,change2_mape_at_n50,change2_mape_at_n100,change2_mape_at_n200,change2_cde,change2_n_post_change,change3_mape_at_change,change3_recovery_flows,change3_recovery_time_s,change3_mape_at_n10,change3_mape_at_n30,change3_mape_at_n50,change3_mape_at_n100,change3_mape_at_n200,change3_cde,change3_n_post_change,change4_mape_at_change,change4_recovery_flows,change4_recovery_time_s,change4_mape_at_n10,change4_mape_at_n30,change4_mape_at_n50,change4_mape_at_n100,change4_mape_at_n200,change4_cde,change4_n_post_change
frequent_changes,wrr,WRR,1,351,24.7863,0.909291,151.26,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,37.9117,26.3858,271,37.3361,-1,-1.0,34.5098,30.8772,27.9365,37.0833,24.7863,30.992,191,37.5288,-1,-1.0,37.0167,37.1451,37.2557,25.4902,24.7863,31.3213,111,25.4288,-1,-1.0,25.19,24.4988,25.2321,24.7863,24.7863,24.7988,54
frequent_changes,wrr,WRR,2,360,23.7037,0.91762,147.73,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.3859,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.3876,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,34.0422,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,25.9166,60
frequent_changes,wrr,WRR,3,360,23.7037,0.91762,147.7,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.2361,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.3406,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,33.9727,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,25.916,60
frequent_changes,wrr,WRR,4,378,23.6332,0.918232,155.36,28.0556,-1,-1.0,21.6854,17.0336,18.2171,33.5196,40.3226,29.1832,299,38.4028,-1,-1.0,35.503,31.746,28.7081,40.444,24.9768,34.37,219,41.3763,-1,-1.0,40.6659,40.512,40.381,28.1087,23.6332,33.7798,159,29.3704,-1,-1.0,28.2632,27.2543,25.8198,23.6332,23.6332,26.5036,79
frequent_changes,wrr,WRR,5,360,23.7037,0.91762,147.5,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.3481,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.3084,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,33.9104,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,25.9815,60
frequent_changes,wrr,WRR,6,343,25.9475,0.899952,153.1,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,27.619,28.2811,263,37.3361,-1,-1.0,34.5098,30.8772,27.9365,41.875,25.9475,32.3633,183,40.3595,-1,-1.0,39.692,41.2056,41.0237,25.625,25.9475,32.496,123,27.1695,-1,-1.0,26.8551,26.7693,26.1094,25.9475,25.9475,26.3118,70
frequent_changes,wrr,WRR,7,304,30.8114,0.864212,149.69,29.9726,-1,-1.0,23.4815,16.6566,19.1111,23.1481,29.1667,27.1847,224,27.6949,-1,-1.0,25.641,25.9032,23.6187,37.4404,30.8114,30.1836,171,36.9621,-1,-1.0,36.385,37.4404,37.5439,30.8031,30.8114,33.475,101,28.3182,-1,-1.0,27.9449,29.7203,30.8114,30.8114,30.8114,28.7499,48
frequent_changes,wrr,WRR,8,380,20.0,0.940052,155.46,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,37.2024,26.4808,300,37.3361,-1,-1.0,34.5098,30.8772,27.9365,37.0833,21.1111,30.3319,220,37.5288,-1,-1.0,37.0167,37.1451,37.2557,22.3529,20.0,28.9343,140,25.5076,-1,-1.0,24.5161,23.0303,21.7143,20.0,20.0,22.5101,80
frequent_changes,wrr,WRR,9,302,28.2929,0.88248,150.42,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,41.6518,28.5951,222,37.3361,-1,-1.0,34.5098,30.8772,27.9365,41.1111,28.2929,35.1285,142,40.3595,-1,-1.0,39.692,39.6167,41.7593,28.2929,28.2929,37.4574,82,27.856,-1,-1.0,27.683,28.2929,28.2929,28.2929,28.2929,26.5413,19
frequent_changes,wrr,WRR,10,359,23.5531,0.918768,147.71,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.4598,279,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.5531,33.4387,199,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.5531,34.019,139,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.5531,23.5531,25.8856,59
frequent_changes,wrr,WRR,11,360,23.7037,0.91762,148.33,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.3896,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.3106,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,33.9918,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,25.9156,60
frequent_changes,wrr,WRR,12,360,23.7037,0.91762,147.35,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.3118,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.3167,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,33.9475,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,26.006,60
frequent_changes,wrr,WRR,13,380,22.4561,0.925889,155.44,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.4775,300,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.4187,220,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,22.4561,32.6833,160,28.6083,-1,-1.0,27.5269,25.8586,24.381,22.4561,22.4561,25.3824,80
frequent_changes,wrr,WRR,14,360,23.7037,0.91762,148.17,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.5228,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.2893,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,33.9459,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,25.7752,60
frequent_changes,wrr,WRR,15,360,23.7037,0.91762,147.91,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.1614,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.225,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,33.9271,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,25.8164,60
frequent_changes,wrr,WRR,16,360,23.7037,0.91762,147.56,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.4087,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.3417,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,33.9623,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,25.9304,60
frequent_changes,wrr,WRR,17,360,23.7037,0.91762,148.55,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.2664,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.3378,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,33.9745,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,25.7973,60
frequent_changes,wrr,WRR,18,358,23.5258,0.918847,147.48,29.9726,-1,-1.0,23.4815,15.2121,17.8889,32.5926,39.5238,28.0274,278,36.6667,-1,-1.0,33.8593,30.2763,27.3791,39.0498,23.5258,32.8643,199,39.7348,-1,-1.0,39.089,39.0618,39.0386,26.5064,23.5258,33.5997,139,28.4444,-1,-1.0,27.3643,25.7008,24.228,23.5258,23.5258,25.732,59
frequent_changes,wrr,WRR,19,360,23.7037,0.91762,147.76,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.4707,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.298,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,33.9194,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,25.9197,60
frequent_changes,wrr,WRR,20,360,23.7037,0.91762,147.78,29.9726,-1,-1.0,23.4815,15.2121,16.6667,32.5926,39.5238,28.1436,280,37.3361,-1,-1.0,34.5098,30.8772,27.9365,39.5833,23.7037,33.2727,200,40.3595,-1,-1.0,39.692,39.6167,39.5525,26.6667,23.7037,33.9936,140,28.6083,-1,-1.0,27.5269,25.8586,24.381,23.7037,23.7037,25.9127,60
frequent_changes,iwrr,IWRR,1,294,6.2736,0.994158,127.62,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.1538,21.2906,214,22.4293,-1,-1.0,21.4379,19.1813,17.3545,26.3194,6.2736,22.4398,134,30.3105,-1,-1.0,29.7826,27.9111,25.5813,6.2736,6.2736,24.9606,74,6.9299,-1,-1.0,6.2736,6.2736,6.2736,6.2736,6.2736,5.9312,8
frequent_changes,iwrr,IWRR,2,335,11.8076,0.981245,152.16,29.9726,-1,-1.0,26.6914,19.4545,14.4444,22.2222,23.7252,22.1835,255,23.4028,-1,-1.0,21.762,20.3998,19.2982,25.9224,11.8076,21.0777,176,33.4637,-1,-1.0,31.5691,28.3689,25.3817,13.0698,11.8076,21.0386,123,13.3412,-1,-1.0,12.8176,12.6021,11.8452,11.8076,11.8076,12.1684,52
frequent_changes,iwrr,IWRR,3,360,6.1728,0.994098,147.95,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.3798,280,22.4293,-1,-1.0,21.4379,19.1813,17.3545,27.0833,6.1728,18.6703,200,30.3105,-1,-1.0,29.7826,27.9111,26.3169,6.9444,6.1728,18.3023,140,7.4935,-1,-1.0,7.1685,6.734,6.3492,6.1728,6.1728,6.7563,60
frequent_changes,iwrr,IWRR,4,329,6.2479,0.994398,151.19,29.9726,-1,-1.0,26.6914,23.5253,19.1111,12.0988,8.1349,19.6916,249,14.8971,-1,-1.0,14.1975,14.6341,11.9565,27.3148,6.2479,15.736,195,31.4905,-1,-1.0,29.608,27.3148,22.7526,7.3099,6.2479,17.4216,125,8.2931,-1,-1.0,7.9142,6.6302,6.4957,6.2479,6.2479,7.0668,54
frequent_changes,iwrr,IWRR,5,360,6.1728,0.994098,147.62,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.4267,280,22.4293,-1,-1.0,21.4379,19.1813,17.3545,27.0833,6.1728,18.6966,200,30.3105,-1,-1.0,29.7826,27.9111,26.3169,6.9444,6.1728,18.3908,140,7.4935,-1,-1.0,7.1685,6.734,6.3492,6.1728,6.1728,6.7599,60
frequent_changes,iwrr,IWRR,6,380,5.848,0.994706,155.22,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.2821,300,22.4293,-1,-1.0,21.4379,19.1813,17.3545,27.0833,6.1728,18.7261,220,30.3105,-1,-1.0,29.7826,27.9111,26.3169,6.9444,5.848,16.8749,160,7.4935,-1,-1.0,7.1685,6.734,6.3492,5.848,5.848,6.5999,80
frequent_changes,iwrr,IWRR,7,379,5.9513,0.994723,154.78,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.4015,299,22.4293,-1,-1.0,21.4379,20.117,16.8783,27.0833,6.1728,18.721,219,30.846,-1,-1.0,30.2948,28.3746,26.74,7.0707,5.9513,17.0034,160,7.4074,-1,-1.0,7.2995,6.8558,6.4629,5.9513,5.9513,6.5753,80
frequent_changes,iwrr,IWRR,8,380,5.848,0.994706,155.53,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.2358,300,22.4293,-1,-1.0,21.4379,19.1813,17.3545,27.0833,6.1728,18.6512,220,30.3105,-1,-1.0,29.7826,27.9111,26.3169,6.9444,5.848,16.8141,160,7.4935,-1,-1.0,7.1685,6.734,6.3492,5.848,5.848,6.6668,80
frequent_changes,iwrr,IWRR,9,380,5.848,0.994706,155.25,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.3383,300,22.4293,-1,-1.0,21.4379,19.1813,17.3545,27.0833,6.1728,18.475,220,30.3105,-1,-1.0,29.7826,27.9111,26.3169,6.9444,5.848,16.7092,160,7.4935,-1,-1.0,7.1685,6.734,6.3492,5.848,5.848,6.3667,80
frequent_changes,iwrr,IWRR,10,380,5.848,0.994706,155.25,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.2842,300,22.4293,-1,-1.0,21.4379,19.1813,17.3545,27.0833,6.1728,18.5448,220,30.3105,-1,-1.0,29.7826,27.9111,26.3169,6.9444,5.848,16.6683,160,7.4935,-1,-1.0,7.1685,6.734,6.3492,5.848,5.848,6.5945,80
frequent_changes,iwrr,IWRR,11,263,13.0967,0.980029,151.56,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,13.0967,18.479,183,22.4293,-1,-1.0,21.4379,19.1813,17.3545,13.3333,13.0967,18.8157,103,30.4837,-1,-1.0,15.3988,13.1545,13.0967,13.0967,13.0967,18.1366,32,15.3988,-1,-1.0,14.9778,13.0967,13.0967,13.0967,13.0967,13.7121,23
frequent_changes,iwrr,IWRR,12,279,14.8148,0.974765,154.53,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,14.8148,18.2927,199,22.4293,-1,-1.0,21.4379,19.1813,17.3545,14.4017,14.8148,18.1921,119,29.6276,-1,-1.0,14.6611,14.9,14.8148,14.8148,14.8148,17.1193,48,14.6611,-1,-1.0,14.9778,14.5267,14.8148,14.8148,14.8148,14.4679,39
frequent_changes,iwrr,IWRR,13,358,7.3246,0.991926,147.85,26.09,-1,-1.0,23.1313,16.4198,14.1493,21.9725,24.4704,20.897,280,24.3885,-1,-1.0,23.2804,20.8038,18.8034,25.8721,7.3246,19.0465,200,28.913,-1,-1.0,28.4357,26.6577,25.1451,8.246,7.3246,18.1395,140,8.8815,-1,-1.0,8.5137,7.9946,7.5351,7.3246,7.3246,7.8986,60
frequent_changes,iwrr,IWRR,14,380,5.848,0.994706,155.22,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.3733,300,22.4293,-1,-1.0,21.4379,19.1813,17.3545,27.0833,6.1728,18.6875,220,30.3105,-1,-1.0,29.7826,27.9111,26.3169,6.9444,5.848,16.8085,160,7.4935,-1,-1.0,7.1685,6.734,6.3492,5.848,5.848,6.644,80
frequent_changes,iwrr,IWRR,15,380,5.848,0.994706,155.31,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.2643,300,22.4293,-1,-1.0,21.4379,19.1813,17.3545,27.0833,6.1728,18.65,220,30.3105,-1,-1.0,29.7826,27.9111,26.3169,6.9444,5.848,16.7917,160,7.4935,-1,-1.0,7.1685,6.734,6.3492,5.848,5.848,6.6165,80
frequent_changes,iwrr,IWRR,16,380,5.848,0.994706,155.53,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.4505,300,22.4293,-1,-1.0,21.4379,19.1813,17.3545,27.0833,6.1728,18.6292,220,30.3105,-1,-1.0,29.7826,27.9111,26.3169,6.9444,5.848,16.7836,160,7.4935,-1,-1.0,7.1685,6.734,6.3492,5.848,5.848,6.5478,80
frequent_changes,iwrr,IWRR,17,380,5.848,0.994706,155.52,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,25.6052,21.3076,300,22.4293,-1,-1.0,21.4379,19.1813,17.3545,27.0833,6.1728,18.6576,220,30.3105,-1,-1.0,29.7826,27.9111,26.3169,6.9444,5.848,16.7848,160,7.4935,-1,-1.0,7.1685,6.734,6.3492,5.848,5.848,6.6291,80
frequent_changes,iwrr,IWRR,18,376,6.2648,0.994698,155.43,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,26.3145,21.76,296,22.4293,-1,-1.0,21.4379,19.1813,18.2011,27.8472,6.3889,18.9816,216,31.3864,-1,-1.0,30.8114,28.8418,27.1663,7.7568,6.2648,17.3971,158,7.5437,-1,-1.0,7.4315,6.9783,6.8008,6.2648,6.2648,6.8278,78
frequent_changes,iwrr,IWRR,19,250,13.8667,0.977393,148.92,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,13.8667,18.7292,170,22.4293,-1,-1.0,21.4379,19.1813,17.3545,13.8667,13.8667,19.2139,90,29.6276,-1,-1.0,14.6611,13.8667,13.8667,13.8667,13.8667,20.3445,19,14.6611,-1,-1.0,13.8667,13.8667,13.8667,13.8667,13.8667,12.9069,10
frequent_changes,iwrr,IWRR,20,380,6.7836,0.993714,154.73,29.9726,-1,-1.0,26.6914,19.4545,14.4444,20.2469,27.0238,20.2309,300,22.4293,-1,-1.0,21.4379,19.1813,17.3545,28.6111,7.1605,17.8775,220,29.9735,-1,-1.0,29.5,27.7881,26.3123,7.5817,6.7836,16.059,140,8.4533,-1,-1.0,8.3154,7.8114,7.3651,6.7836,6.7836,7.4668,80
frequent_changes,wlc,WLC,1,300,26.7407,0.94029,153.19,29.9726,20,8.14,16.4198,5.7576,21.1111,53.642,19.127,30.5995,220,70.1828,-1,-1.0,62.8077,49.3167,38.4326,19.8011,26.7407,35.9314,143,43.285,-1,-1.0,38.3601,18.6186,18.7176,26.7407,26.7407,25.1254,71,22.8395,-1,-1.0,17.4542,19.5334,26.7407,26.7407,26.7407,19.373,49
frequent_changes,wlc,WLC,2,303,27.2461,0.940924,153.11,29.9726,20,0.24,16.4198,5.7576,21.1111,57.1605,18.5317,31.7964,223,71.5666,-1,-1.0,64.2484,50.8187,39.9471,21.2393,27.2461,37.3147,143,44.7258,-1,-1.0,39.9262,20.6471,18.9403,27.2461,27.2461,26.396,72,24.2702,-1,-1.0,18.8973,20.1487,27.2461,27.2461,27.2461,20.2325,49
frequent_changes,wlc,WLC,3,353,11.7406,0.981441,151.47,29.9726,20,0.25,16.4198,5.7576,21.1111,57.1605,33.2044,34.8349,273,71.5666,166,70.35,64.2484,50.8187,39.9471,37.3611,11.7406,33.8295,193,47.6307,106,45.71,44.9517,39.6889,35.2058,7.6736,11.7406,26.0572,133,21.5185,27,8.16,15.0665,3.411,9.5829,11.7406,11.7406,9.0976,54
frequent_changes,wlc,WLC,4,380,24.5029,0.93279,155.07,29.9726,20,0.24,16.4198,5.7576,21.1111,57.1605,33.2044,34.9531,300,71.5666,166,65.79,64.2484,50.8187,39.9471,37.3611,14.7531,33.2824,220,47.6307,106,40.75,44.9517,39.6889,35.2058,8.4028,24.5029,24.773,160,21.5578,26,8.19,15.1254,3.2997,9.4603,24.5029,24.5029,11.9966,80
frequent_changes,wlc,WLC,5,380,24.5029,0.93279,155.32,29.9726,20,0.23,16.4198,5.7576,21.1111,57.1605,33.2044,34.9119,300,71.5666,166,65.76,64.2484,50.8187,39.9471,37.3611,14.7531,33.2412,220,47.6307,106,40.97,44.9517,39.6889,35.2058,8.4028,24.5029,24.773,160,21.5578,26,8.34,15.1254,3.2997,9.4603,24.5029,24.5029,11.9966,80
frequent_changes,wlc,WLC,6,346,14.8041,0.970411,151.48,29.9726,20,0.24,16.4198,5.7576,21.1111,57.1605,30.3026,33.0753,266,71.5666,158,70.28,64.2484,50.8187,39.9471,34.2361,14.8041,32.2924,186,42.5752,79,45.66,37.8737,32.3936,28.7101,12.3566,14.8041,21.8915,107,17.3635,24,8.16,11.367,6.7558,14.115,14.8041,14.8041,9.8878,52
frequent_changes,wlc,WLC,7,380,28.1871,0.914391,154.18,29.9726,20,0.24,16.4198,5.7576,21.1111,57.1605,29.7222,33.0139,300,71.5666,162,65.33,64.2484,50.8187,39.9471,33.6111,18.642,31.1383,220,43.1593,82,32.65,38.4556,31.5947,27.9789,9.281,28.1871,21.4762,140,16.9066,22,8.19,10.6093,5.5219,13.4603,28.1871,28.1871,13.3209,80
