scenario,algorithm,algo_label,run_id,n_flows,end_mape,end_jfi_c,duration_s,change1_mape_at_change,change1_recovery_flows,change1_recovery_time_s,change1_mape_at_n10,change1_mape_at_n30,change1_mape_at_n50,change1_mape_at_n100,change1_mape_at_n200,change1_cde,change1_n_post_change
single_change,wrr,WRR,1,300,22.1333,0.915989,122.47,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.2054,180
single_change,wrr,WRR,2,299,22.0773,0.916258,122.64,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.0773,18.3445,179
single_change,wrr,WRR,3,299,22.029,0.916934,123.43,30.5326,-1,-1.0,26.0,16.9333,15.4902,16.8535,22.029,17.8779,179
single_change,wrr,WRR,4,299,22.029,0.916934,122.68,30.5326,-1,-1.0,26.0,16.9333,15.4902,16.8535,22.029,17.9802,179
single_change,wrr,WRR,5,300,22.1333,0.915989,122.59,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.3439,180
single_change,wrr,WRR,6,300,22.1333,0.915989,122.72,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.2681,180
single_change,wrr,WRR,7,299,22.0773,0.916258,123.21,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.0773,18.0563,179
single_change,wrr,WRR,8,300,22.1333,0.915989,122.77,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.1746,180
single_change,wrr,WRR,9,300,22.1333,0.915989,122.76,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.1558,180
single_change,wrr,WRR,10,300,22.1333,0.915989,122.53,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.3117,180
single_change,wrr,WRR,11,300,22.1333,0.915989,122.82,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.0675,180
single_change,wrr,WRR,12,300,22.1333,0.915989,122.18,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.267,180
single_change,wrr,WRR,13,299,22.0773,0.916258,123.51,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.0773,18.0965,179
single_change,wrr,WRR,14,299,22.029,0.916934,122.43,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.029,18.3784,179
single_change,wrr,WRR,15,300,22.1333,0.915989,122.78,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,17.9513,180
single_change,wrr,WRR,16,300,22.1333,0.915989,122.69,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.2827,180
single_change,wrr,WRR,17,300,22.1333,0.915989,122.6,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.2093,180
single_change,wrr,WRR,18,300,22.1333,0.915989,121.73,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.173,180
single_change,wrr,WRR,19,300,22.1333,0.915989,122.32,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.211,180
single_change,wrr,WRR,20,300,22.1333,0.915989,122.46,30.5326,-1,-1.0,26.0,16.9333,15.4902,17.5758,22.1333,18.0801,180
single_change,iwrr,IWRR,1,300,10.8,0.987688,123.0,30.5326,-1,-1.0,28.2222,22.7111,18.4967,11.3131,10.8,15.4826,180
single_change,iwrr,IWRR,2,300,10.8,0.987688,121.86,30.5326,-1,-1.0,28.2222,22.7111,18.4967,11.3131,10.8,15.7289,180
single_change,iwrr,IWRR,3,299,11.4493,0.986262,121.78,29.2593,-1,-1.0,27.0198,21.6331,17.5214,11.8975,11.4493,15.5704,180
