post_change_flow,mape_mean,mape_std
1,29.7785,0.8462
2,30.0662,0.8341
3,31.915,0.8138
4,30.2766,0.8126
5,30.5481,0.8014
6,28.9637,0.8001
7,29.2442,0.7893
8,27.7107,0.7878
9,27.999,0.7774
10,26.5134,0.7759
11,25.4811,1.2382
12,24.9031,1.6175
13,24.8752,1.8039
14,24.6559,1.8705
15,24.561,2.5306
16,24.7182,2.5049
17,24.5608,1.8448
18,24.2855,1.5369
19,23.6001,1.142
20,22.5472,0.7144
21,22.3232,1.2711
22,22.0383,1.6789
23,21.6327,1.6445
24,21.6266,1.2387
25,21.8449,1.3108
26,21.3928,1.0
27,20.9492,0.8663
28,20.5873,0.8935
29,20.2307,0.9254
30,19.5063,1.1342
31,19.1673,1.1215
32,18.5363,1.2672
33,18.641,1.6189
34,18.4356,1.8602
35,18.5894,1.6174
36,18.3152,1.7953
37,18.4296,1.4565
38,17.9178,1.419
39,17.281,1.04
40,16.7481,0.7381
41,16.8341,0.9499
42,16.7636,0.9121
43,16.6649,0.9981
44,16.5678,0.9263
45,16.3866,1.0765
46,15.8624,0.7729
47,15.4953,0.9153
48,15.4452,0.8059
49,15.088,0.842
50,14.663,1.0225
51,14.2455,1.1282
52,14.1244,1.1847
53,14.4285,1.1018
54,14.3661,1.0838
55,14.266,0.9282
56,14.0207,1.2197
57,14.0,0.7953
58,13.4715,0.7596
59,13.0146,0.7537
60,12.6718,0.6137
61,12.5738,0.9535
62,12.6665,1.0753
63,12.5354,1.0062
64,12.4878,0.6073
65,12.5834,0.75
66,12.3007,0.6973
67,11.8672,0.7743
68,11.6636,0.8316
69,11.4565,0.765
70,11.2409,0.7464
71,11.3384,1.0839
72,11.6649,0.922
73,11.5546,0.9379
74,11.4697,1.0615
75,11.1904,1.174
76,11.0067,1.0682
77,10.9208,0.9533
78,11.0663,1.0573
79,11.1041,0.9173
80,11.7681,2.7396
81,22.158,2.1016
82,22.7727,2.275
83,21.9303,1.9066
84,21.7015,1.7093
85,22.3078,2.0126
86,21.9724,2.0003
87,21.6643,1.7522
88,20.8238,1.7915
89,21.4209,1.955
90,21.0987,1.9433
91,20.8321,1.9539
92,20.7857,2.2342
93,20.6596,2.1326
94,20.7159,2.2158
95,20.67,2.3635
96,20.5466,2.3049
97,20.3676,2.1388
98,20.381,2.1173
99,20.2514,1.9605
100,20.0245,1.9011
101,19.9849,1.8598
102,20.1466,1.823
103,19.9875,1.8426
104,19.6467,1.9178
105,19.6965,1.9372
106,19.5964,1.9519
107,19.2746,1.9764
108,19.0712,1.982
109,18.997,2.0031
110,18.97,1.7759
111,18.7047,1.9299
112,18.5551,2.1033
113,18.4125,2.1513
114,18.5064,1.9952
115,18.2438,1.9562
116,18.4288,1.8982
117,18.3807,1.9841
118,18.237,1.9201
119,18.201,1.7353
120,17.9515,1.7752
121,17.7875,1.9869
122,17.8503,1.8927
123,17.6313,1.865
124,17.5016,1.9106
125,18.7711,3.0001
126,18.7635,3.0857
127,18.555,2.9981
128,18.3172,3.2286
129,18.2461,3.1204
130,18.1832,2.9502
131,18.2023,3.0643
132,18.1458,3.033
133,18.6807,4.5127
134,18.6142,4.4896
135,18.6483,4.4888
136,18.7049,4.4979
137,18.7217,4.3097
138,18.4013,4.34
139,19.037,5.179
140,19.5562,5.8406
141,27.5342,5.6927
142,27.7428,5.7151
143,27.3077,5.6818
144,27.693,5.7951
145,27.3774,5.7444
146,27.0,5.5724
147,27.2456,5.4832
148,26.8922,5.5317
149,26.4553,5.5331
150,26.8297,5.5273
151,26.5059,5.3877
152,28.6238,2.9797
153,28.4292,3.1457
154,28.3353,3.1665
155,28.4261,3.2241
156,28.3444,3.219
157,28.5143,3.1298
158,28.6773,3.3334
159,28.2811,3.119
160,27.9076,3.0945
161,26.4425,4.9434
162,26.4472,4.7399
163,26.3365,4.9445
164,26.151,4.9784
165,26.0847,4.9299
166,25.9808,4.6311
167,25.81,4.7685
168,25.7398,4.8087
169,25.5919,4.6477
170,25.6254,4.8093
171,25.4086,4.8092
172,25.1684,4.8268
173,25.175,4.8934
174,25.1837,4.834
175,25.1327,4.7048
176,25.1004,4.8144
177,25.0827,4.8754
178,24.9506,4.8712
179,24.8908,4.7957
180,24.8216,4.7624
181,24.7074,4.6729
182,24.6685,4.6765
183,24.4652,4.7066
184,24.503,4.6407
185,24.2745,4.4825
186,24.1941,4.5109
187,24.188,4.4582
188,24.1955,4.516
189,24.1102,4.5027
190,24.0743,4.5317
191,24.0656,4.4791
192,23.8566,4.4849
193,23.7636,4.4721
194,23.765,4.4032
195,23.6699,4.3199
196,23.0297,5.3444
197,23.0458,5.3334
198,23.0477,5.4553
199,22.8692,5.391
200,22.9129,5.3781
