post_change_flow,mape_mean,mape_std
1,29.9726,0.0
2,28.3198,0.0
3,26.7068,0.0
4,25.1323,0.0
5,25.4641,0.0
6,23.9406,0.0
7,25.7727,0.0
8,26.0859,0.0
9,24.6067,0.0
10,24.9259,0.0
11,23.754,0.6234
12,22.9372,0.9835
13,22.138,1.1719
14,21.0331,1.2518
15,20.1035,1.4924
16,19.5092,1.7054
17,19.6197,1.2908
18,20.0522,1.046
19,20.3446,0.9511
20,19.3889,0.6296
21,18.3878,0.5672
22,17.4842,0.8039
23,16.2897,0.7961
24,15.3333,0.9526
25,14.6979,1.2633
26,14.9056,1.4369
27,15.1838,1.1103
28,15.2896,1.1376
29,15.1615,0.9356
30,14.9308,0.83
31,15.0706,1.475
32,14.5779,1.6757
33,13.883,1.6844
34,13.213,1.7957
35,12.6802,2.055
36,12.0881,2.0131
37,11.821,1.7658
38,11.7481,1.2209
39,11.634,0.957
40,11.281,0.7124
41,10.5399,0.7853
42,9.811,0.8081
43,9.0294,0.6288
44,8.7612,0.5922
45,8.1796,0.8225
46,7.8995,1.0058
47,8.2152,0.9072
48,8.7517,0.7899
49,8.6305,1.0185
50,8.5111,0.7749
51,8.4928,0.9891
52,8.0425,1.1032
53,7.6805,1.233
54,7.2645,1.4521
55,8.1745,5.9005
56,7.8219,5.6991
57,7.6403,5.5435
58,7.6437,5.4024
59,7.3445,5.1604
60,6.7909,5.1666
61,6.1888,5.22
62,5.6968,5.2563
63,5.0656,5.1532
64,4.8264,5.0877
65,4.9371,4.8109
66,4.992,4.5464
67,4.7967,4.3368
68,4.6487,4.3001
69,4.33,4.2691
70,4.4682,4.1305
71,4.6435,4.0506
72,4.6652,3.9682
73,4.4775,3.9543
74,4.3005,3.9459
75,4.0255,3.7672
76,3.5712,3.6392
77,3.6614,3.5705
78,3.8006,3.457
79,3.652,3.3317
80,7.9799,10.3035
81,30.3899,3.1507
82,29.5027,3.0015
83,29.0866,3.1164
84,28.584,3.225
85,27.7239,3.0786
86,27.356,3.0601
87,26.9927,3.0418
88,26.5146,3.1482
89,25.6871,3.0058
90,25.3398,2.9881
91,24.9383,3.0931
92,24.3669,3.0383
93,23.7155,3.0836
94,23.0428,2.9936
95,22.5206,2.9208
96,22.0044,2.8552
97,21.5223,2.9308
98,21.1298,2.8902
99,20.8256,2.874
100,20.358,2.9385
101,19.9232,2.8965
102,19.3285,2.9424
103,18.9041,2.8961
104,18.4572,2.8465
105,18.015,2.7889
106,17.6046,2.862
107,17.2252,2.9401
108,16.7967,2.9009
109,16.3727,2.9664
110,15.9532,2.9024
111,15.5905,2.8774
112,15.0752,2.8133
113,14.669,2.7869
114,14.2411,2.8534
115,13.869,2.7937
116,13.4495,2.7303
117,12.9583,2.7717
118,12.6487,2.7385
119,12.3841,2.6289
120,12.0223,2.4998
121,11.5976,2.5614
122,11.2019,2.4024
123,10.8758,2.2914
124,10.4793,2.168
125,11.3347,3.1017
126,10.9834,3.0512
127,10.7562,2.9796
128,10.3389,2.9641
129,9.9734,2.9251
130,9.6352,2.8723
131,9.324,2.8285
132,8.9213,2.8117
133,8.4755,2.7953
134,8.1974,2.7559
135,7.9451,2.6952
136,7.5562,2.6689
137,7.148,2.6557
138,6.8581,2.6098
139,6.5481,2.5602
140,9.7532,8.4215
141,19.8797,10.9421
142,19.4138,10.8707
143,18.9521,10.7968
144,18.5169,10.6958
145,18.0855,10.597
146,17.6358,10.5254
147,17.2562,10.3685
148,16.836,10.2712
149,17.6823,9.9848
150,18.5193,9.5237
151,18.0541,9.4935
152,18.9056,8.9582
153,19.7696,8.1523
154,19.3459,8.0412
155,20.1448,7.0608
156,19.7116,6.9699
157,20.5813,5.5482
158,20.1526,5.4382
159,19.6787,5.4958
160,19.2086,5.5536
161,20.0729,3.6112
162,19.6284,3.5963
163,19.1875,3.5815
164,18.7503,3.5669
165,18.3166,3.5523
166,17.8865,3.5379
167,17.4598,3.5235
168,17.0365,3.5093
169,16.6167,3.4953
170,16.2003,3.4813
171,15.7871,3.4674
172,14.8385,3.8778
173,13.9254,4.128
174,13.519,4.123
175,13.1157,4.1204
176,12.7157,4.1157
177,12.3295,4.093
178,11.9356,4.0906
179,11.5447,4.0861
180,11.1568,4.0839
181,10.7846,4.0507
182,10.4047,4.0371
183,10.0415,3.9964
184,9.6857,3.947
185,9.364,3.8384
186,9.0615,3.7009
187,8.7882,3.5145
188,8.4196,3.5143
189,8.0662,3.5002
190,7.8182,3.285
191,7.6476,3.1417
192,7.5508,3.2765
193,8.3567,4.8958
194,8.2244,4.6817
195,7.9919,4.6249
196,7.8699,4.4239
197,7.7246,4.2882
198,7.5825,4.1359
199,7.4512,3.9638
200,7.3209,3.8328
