post_change_flow,mape_mean,mape_std
1,29.9726,0.0
2,28.3198,0.0
3,26.7068,0.0
4,25.1323,0.0
5,23.5948,0.0
6,22.093,0.0
7,20.6258,0.0
8,19.1919,0.0
9,17.7903,0.0
10,16.4198,0.0
11,15.0794,0.0
12,13.7681,0.0
13,12.4851,0.0
14,11.2293,0.0
15,10.0,0.0
16,8.7963,0.0
17,7.6174,0.0
18,6.4626,0.0
19,5.3311,0.0
20,4.2222,0.0
21,3.1353,0.0
22,2.0697,0.0
23,1.0248,0.0
24,0.0,0.0
25,1.0053,0.0
26,1.9916,0.0
27,2.9595,0.0
28,3.9095,0.0
29,4.842,0.0
30,5.7576,0.0
31,6.6567,0.0
32,7.5397,0.0
33,8.4071,0.0
34,9.2593,0.0
35,10.0966,0.0
36,10.9195,0.0
37,11.7284,0.0
38,12.5235,0.0
39,13.3053,0.0
40,14.0741,0.0
41,14.8301,0.0
42,15.5738,0.0
43,16.3053,0.0
44,17.0251,0.0
45,17.7333,0.0
46,18.4303,0.0
47,19.1164,0.0
48,19.7917,0.0
49,20.4565,0.0
50,21.1111,0.0
51,21.7557,0.0
52,22.3906,0.0
53,23.0159,0.0
54,23.6318,0.0
55,25.9909,7.434
56,26.4835,6.9872
57,27.0073,6.7098
58,27.5235,6.4364
59,27.9944,6.0064
60,28.4963,5.7419
61,28.9909,5.4812
62,29.4787,5.2242
63,29.9227,4.8147
64,30.3972,4.5659
65,30.8651,4.3205
66,31.2906,3.9255
67,31.746,3.6879
68,32.1598,3.3025
69,32.568,2.9223
70,33.0059,2.6961
71,33.4379,2.4729
72,33.8642,2.2526
73,34.2851,2.0351
74,34.7004,1.8205
75,35.1104,1.6087
76,35.4813,1.2564
77,35.8476,0.9087
78,38.0042,7.6055
79,38.3041,7.2215
80,42.2295,12.1081
81,69.34,7.7686
82,68.1864,7.5903
83,67.5636,7.5438
84,66.8842,7.4915
85,65.7983,7.3114
86,65.1694,7.2739
87,64.5481,7.3631
88,63.8715,7.4449
89,62.8292,7.2698
90,62.2016,7.3636
91,61.5813,7.3212
92,60.7235,7.2188
93,60.0277,7.1385
94,59.2492,7.0406
95,58.5397,7.0864
96,57.7486,7.1137
97,57.0853,7.0352
98,56.459,6.9755
99,55.8398,6.897
100,55.1982,6.8213
101,54.5636,6.7569
102,53.994,6.8256
103,53.2291,6.8392
104,52.5871,6.8945
105,51.9519,6.8266
106,51.352,6.8818
107,50.8146,6.8189
108,50.1711,6.7347
109,49.5901,6.6601
110,48.9874,6.7001
111,48.4737,6.649
112,47.9106,6.5906
113,47.2715,6.5103
114,46.6118,6.5536
115,46.0669,6.4927
116,45.4738,6.5288
117,44.9402,6.5764
118,44.3677,6.4589
119,43.8802,6.4741
120,43.3187,6.4736
121,42.7017,6.3843
122,42.1429,6.3122
123,41.6674,6.258
124,42.5145,0.7569
125,41.9508,0.805
126,41.4949,0.7822
127,41.0179,0.8056
128,40.5456,0.8162
129,40.0273,0.8372
130,39.5391,0.8903
131,39.1054,1.0081
132,38.502,0.9637
133,37.929,0.9315
134,37.4843,0.9312
135,37.0682,0.9217
136,36.6072,0.9231
137,36.102,0.8919
138,35.6015,0.9299
139,35.2256,0.92
140,36.2108,3.9252
141,40.5083,6.6325
142,40.1421,6.6888
143,39.7792,6.7456
144,39.3725,6.8479
145,38.9929,6.9312
146,38.5932,7.0236
147,38.2204,7.0955
148,37.8738,7.1487
149,37.4614,7.2583
150,38.722,7.1109
151,38.3303,7.1782
152,39.4488,7.0073
153,39.0555,7.0483
154,38.6655,7.0909
155,38.3237,7.0734
156,37.9848,7.0579
157,37.6487,7.0446
158,37.3154,7.0332
159,36.9629,7.0523
160,37.3653,6.91
161,40.5016,4.6375
162,40.1612,4.6407
163,39.8235,4.6472
164,39.4886,4.6571
165,39.1565,4.6701
166,38.8271,4.6862
167,38.5003,4.7052
168,38.1762,4.7271
169,37.8546,4.7517
170,37.5357,4.779
171,37.2193,4.8087
172,36.2701,5.7649
173,35.9377,5.8325
174,35.615,5.9016
175,34.0047,6.8276
176,33.6526,6.9326
177,33.3032,7.0384
178,32.9565,7.1451
179,32.6125,7.2524
180,32.2711,7.3602
181,31.9996,7.4447
182,31.7302,7.5302
183,31.4628,7.6165
184,31.1974,7.7036
185,30.934,7.7913
186,30.6166,8.0083
187,30.3352,8.1457
188,30.0821,8.2306
189,29.8569,8.267
190,28.9845,8.4683
191,28.7432,8.5292
192,28.5811,8.4697
193,28.4732,8.3105
194,28.3662,8.1572
195,28.2599,8.0097
196,28.1544,7.8684
197,28.0497,7.7333
198,27.9457,7.6047
199,27.8424,7.4826
200,27.74,7.3672
