post_change_flow,mape_mean,mape_std
1,29.8768,0.4178
2,28.2241,0.4171
3,26.6113,0.4163
4,25.037,0.4154
5,23.4997,0.4145
6,21.9982,0.4134
7,22.3586,0.4077
8,22.7107,0.4021
9,23.0551,0.3967
10,23.3917,0.3915
11,22.3231,0.8384
12,21.5368,1.0295
13,20.5967,1.4245
14,19.5929,1.7333
15,18.6939,2.2194
16,17.5644,2.101
17,16.9497,1.7288
18,16.915,1.3139
19,17.0593,0.8663
20,16.8998,0.1462
21,15.8774,0.4721
22,14.7193,0.4773
23,13.6608,0.5925
24,12.5463,0.6522
25,12.3588,0.7673
26,12.3998,0.8156
27,13.0346,0.8971
28,13.5842,0.7824
29,14.5609,0.7761
30,15.3754,0.4935
31,15.1726,0.6883
32,15.3281,0.7731
33,15.6214,0.9997
34,15.7703,1.374
35,15.9165,1.9211
36,15.8547,1.8962
37,15.6588,1.6043
38,15.6682,1.1656
39,15.9446,0.6724
40,16.0838,0.3651
41,15.6949,0.4489
42,15.3776,0.5585
43,15.0653,0.7433
44,14.7582,0.9574
45,14.7107,1.2369
46,14.7265,1.4787
47,14.9922,1.5082
48,15.6267,1.1544
49,16.1898,0.8801
50,16.9275,0.6524
51,16.8652,0.7344
52,16.8643,0.9025
53,16.7441,1.2218
54,16.9635,2.8111
55,16.9123,3.0673
56,16.9781,3.2236
57,17.0361,3.0014
58,17.2659,2.7813
59,17.5496,2.5112
60,17.8293,2.2678
61,17.4852,2.2588
62,17.0548,2.1001
63,16.7209,2.0917
64,16.5024,2.1074
65,16.3479,2.3527
66,16.3043,2.5234
67,16.5791,2.3269
68,17.1254,2.368
69,17.6777,1.9933
70,18.203,1.7624
71,18.1424,1.7405
72,18.0886,1.95
73,18.2437,2.1309
74,18.1384,2.3871
75,18.0285,2.4608
76,17.8181,2.3669
77,17.7624,2.2709
78,18.1601,2.0094
79,18.4713,1.6514
80,19.4863,4.2007
81,36.7442,2.8344
82,37.4092,2.8171
83,38.0115,2.7986
84,37.6306,2.5471
85,37.2003,2.5316
86,36.7753,2.5163
87,36.3254,2.6305
88,35.8808,2.6232
89,34.9089,2.4804
90,34.03,2.104
91,33.6523,1.9037
92,33.6118,1.8874
93,33.8927,2.0078
94,33.7201,2.0847
95,33.9181,2.2383
96,33.9497,2.2998
97,33.4657,2.1338
98,32.9372,2.132
99,32.539,2.1109
100,32.1667,2.0788
101,32.4435,2.0501
102,32.7873,2.385
103,32.9605,2.2693
104,32.9383,2.0784
105,32.9643,2.1259
106,32.772,2.1246
107,32.3798,1.8914
108,31.8912,1.6473
109,31.2489,1.3572
110,30.5932,1.2557
111,30.3718,1.3247
112,30.4045,1.4331
113,30.3389,1.6011
114,30.5148,1.7081
115,30.4952,1.9143
116,30.4813,1.9134
117,29.9909,1.7941
118,29.5702,1.6716
119,29.2959,1.4669
120,29.0881,1.269
121,29.2835,1.5565
122,29.6777,1.5685
123,29.7367,1.6706
124,30.5677,1.5968
125,30.4809,1.7225
126,30.3948,1.8588
127,30.1274,1.8322
128,29.6089,1.9018
129,28.9757,1.9908
130,28.396,2.0365
131,28.2038,2.068
132,28.1392,2.0736
133,28.0988,2.0591
134,28.3314,1.9562
135,28.4143,1.8611
136,28.3729,2.0449
137,28.0578,2.2305
138,27.7225,2.4187
139,27.4362,2.3601
140,27.8869,3.5638
141,38.9718,3.968
142,39.5421,4.1155
143,40.0229,4.3671
144,39.825,4.1286
145,39.5893,4.0076
146,39.3163,4.0062
147,39.0237,4.0708
148,38.7557,4.0692
149,38.4681,4.1318
150,38.1613,4.2591
151,37.9819,4.1638
152,38.2278,4.0804
153,38.4332,4.1179
154,38.79,4.3751
155,39.0293,4.2961
156,39.0016,4.4291
157,38.7646,4.499
158,38.4879,4.5576
159,38.2344,4.5541
160,38.1899,4.6047
161,39.8904,0.964
162,40.2141,1.0076
163,40.576,1.0059
164,40.5684,0.9372
165,40.4393,0.9419
166,40.2306,0.9374
167,39.9834,0.9336
168,39.7781,0.8656
169,39.5745,0.894
170,39.3726,0.9531
171,39.2513,1.0191
172,39.3282,1.2306
173,39.6008,1.322
174,39.8322,1.3295
175,39.9058,1.2404
176,40.0175,1.1188
177,39.4422,2.7223
178,39.3046,2.6312
179,39.1297,2.5594
180,38.9858,2.5722
181,39.1475,2.6573
182,39.27,2.6773
183,39.5049,2.6991
184,39.7005,2.6801
185,39.738,2.8105
186,39.6326,2.7991
187,39.4906,2.7872
188,39.358,2.7596
189,39.1526,2.675
190,38.9854,2.5945
191,38.8846,2.6142
192,39.0767,2.6126
193,39.1663,2.5747
194,38.5714,3.6137
195,38.7925,3.6059
196,38.8322,3.548
197,38.7398,3.5423
198,38.5687,3.5426
199,38.4464,3.4866
200,38.3604,3.4284
