post_change_flow,mape_mean,mape_std
1,30.4689,0.2775
2,30.6564,0.2749
3,31.8983,0.2704
4,30.7893,0.2702
5,30.9697,0.2677
6,29.8857,0.2674
7,30.0704,0.265
8,29.0105,0.2647
9,29.1991,0.2623
10,28.1621,0.2621
11,27.4332,0.6943
12,27.2246,0.8471
13,27.1281,0.9327
14,27.0538,1.2084
15,27.0288,1.2561
16,26.9195,1.2882
17,26.6956,1.0091
18,26.4176,0.9118
19,25.9255,0.4946
20,25.2594,0.3281
21,25.6126,0.6851
22,25.635,0.9206
23,25.5102,0.6861
24,25.0414,0.736
25,24.7331,0.8107
26,24.385,0.6779
27,23.9232,0.496
28,23.4775,0.4698
29,23.1448,0.5232
30,22.6042,0.3206
31,22.1765,0.4828
32,22.2725,0.9206
33,22.2817,1.0564
34,22.1361,1.1343
35,21.9597,0.9997
36,21.684,1.0351
37,21.4302,1.0005
38,21.1611,0.7744
39,20.7635,0.5954
40,20.3713,0.3026
41,20.5716,0.67
42,20.5329,0.9194
43,20.6015,0.791
44,20.1623,0.7727
45,20.0001,0.61
46,19.522,0.4796
47,19.344,0.4752
48,18.9313,0.4162
49,18.7116,0.5595
50,18.4479,0.2126
51,18.2632,0.6605
52,17.8667,0.6121
53,17.6707,0.7886
54,17.531,0.9534
55,17.7769,0.9486
56,17.6017,0.8981
57,17.518,0.8147
58,17.488,0.698
59,17.0667,0.4377
60,16.6942,0.2028
61,16.7173,0.6533
62,16.9939,0.7481
63,16.9006,0.6489
64,16.6666,0.6519
65,16.5057,0.5801
66,16.2686,0.4592
67,15.9144,0.4194
68,15.6486,0.4208
69,15.4275,0.4211
70,15.0833,0.2591
71,14.9015,0.5461
72,15.1393,0.7183
73,15.1427,0.8546
74,14.9299,0.8869
75,14.9269,0.7016
76,14.5077,0.6823
77,14.3748,0.8372
78,14.203,0.6859
79,13.9531,0.4021
80,13.6733,0.2472
81,13.6372,0.5743
82,13.8767,0.7953
83,14.0282,0.5675
84,13.934,0.4536
85,13.6224,0.402
86,13.377,0.3945
87,13.0709,0.3852
88,12.8824,0.3017
89,12.7339,0.3762
90,12.4134,0.1926
91,12.0962,0.393
92,12.3338,0.5953
93,12.2351,0.6488
94,12.2516,0.6815
95,12.1934,0.6874
96,12.2914,0.6723
97,12.1154,0.7239
98,11.9341,0.5459
99,11.6457,0.3123
100,11.36,0.1454
101,11.5345,0.5609
102,11.696,0.4434
103,11.7621,0.3653
104,11.6503,0.5445
105,11.4006,0.4788
106,11.1686,0.5517
107,10.9637,0.471
108,10.8575,0.4794
109,11.0565,0.5154
110,11.1156,0.4539
111,11.2328,0.6406
112,11.3941,0.706
113,11.0891,0.7033
114,10.9798,0.779
115,10.7491,0.6852
116,10.7776,0.7289
117,10.9368,0.7015
118,11.0948,0.727
119,11.0518,0.585
120,11.1084,0.5573
121,10.9431,0.6978
122,10.9102,0.7542
123,10.9489,0.8066
124,10.854,0.8344
125,10.8545,0.7035
126,10.8491,0.86
127,10.7763,0.8074
128,10.9924,0.828
129,11.1112,0.7351
130,11.1019,0.6556
131,11.0381,0.7728
132,11.0349,0.948
133,10.7889,1.0401
134,10.6985,1.0014
135,10.793,1.0693
136,11.0645,1.0043
137,11.123,1.0525
138,11.2063,1.0497
139,11.2582,1.0606
140,11.157,1.0096
141,11.04,1.1036
142,10.9267,1.1432
143,10.814,1.1885
144,10.8965,1.1025
145,10.894,1.14
146,10.9458,1.2294
147,11.0269,1.2809
148,11.0481,1.2189
149,11.0988,1.1694
150,11.1491,1.0875
151,11.1724,1.0985
152,11.1815,1.1573
153,11.0823,1.185
154,11.0654,1.2126
155,11.1274,1.2051
156,11.2202,1.1084
157,11.3359,1.0707
158,11.2559,1.0395
159,11.1714,1.0453
160,11.1159,1.0483
161,10.9887,1.1478
162,11.0495,1.1305
163,10.9822,1.1255
164,10.8542,1.1623
165,10.8059,1.1968
166,10.8109,1.1784
167,10.8133,1.1563
168,10.9536,1.1091
169,11.0929,1.0702
170,11.0944,1.0525
171,11.0983,1.1037
172,11.1319,1.1396
173,10.9532,1.1773
174,10.8075,1.2056
175,10.7928,1.2142
176,10.8805,1.1953
177,10.9895,1.16
178,11.098,1.0984
179,11.0729,1.0729
180,11.0743,1.0564
181,11.0743,1.0564
182,11.0743,1.0564
183,11.0743,1.0564
184,11.0743,1.0564
185,11.0743,1.0564
186,11.0743,1.0564
187,11.0743,1.0564
188,11.0743,1.0564
189,11.0743,1.0564
190,11.0743,1.0564
191,11.0743,1.0564
192,11.0743,1.0564
193,11.0743,1.0564
194,11.0743,1.0564
195,11.0743,1.0564
196,11.0743,1.0564
197,11.0743,1.0564
198,11.0743,1.0564
199,11.0743,1.0564
200,11.0743,1.0564
