post_change_flow,mape_mean,mape_std
1,30.5326,0.0
2,29.4171,0.0
3,28.3198,0.0
4,27.2401,0.0
5,27.4489,0.0
6,26.3933,0.0
7,27.629,0.0
8,27.8299,0.0
9,26.7959,0.0
10,27.0,0.0
11,26.2197,0.5802
12,25.8232,0.6459
13,25.6011,1.0486
14,25.42,1.4973
15,25.3379,2.0445
16,24.4338,2.0804
17,23.9489,1.6252
18,23.8321,0.9781
19,23.8677,0.2491
20,23.0,0.0
21,22.2573,0.4023
22,21.5708,0.6119
23,20.7929,0.6294
24,20.1262,0.8281
25,19.877,0.9541
26,19.8044,0.8295
27,19.7033,0.8854
28,19.589,0.7381
29,19.4859,0.5729
30,19.5333,0.0
31,19.2119,0.6642
32,18.6951,0.7965
33,18.341,0.9762
34,18.118,1.1238
35,17.7208,1.4432
36,17.1759,1.2788
37,16.9324,1.0627
38,17.0165,0.8303
39,16.7362,0.6302
40,16.5,0.0
41,15.9303,0.4721
42,15.3765,0.5483
43,14.8784,0.5379
44,14.5623,0.6331
45,13.97,0.6822
46,13.6546,0.7342
47,13.9268,0.6463
48,13.7186,0.6915
49,13.6453,0.339
50,13.8235,0.0
51,13.5647,0.6386
52,13.103,0.6012
53,12.9515,0.9276
54,12.8017,1.2477
55,12.7444,1.4056
56,12.2446,1.3662
57,12.0932,1.1539
58,12.0612,0.8388
59,11.9206,0.3551
60,11.4444,0.0
61,10.9297,0.3135
62,10.3333,0.3492
63,9.9171,0.432
64,9.4544,0.4765
65,9.2036,0.6701
66,9.1108,0.6909
67,9.0885,0.5632
68,9.2432,0.533
69,9.2587,0.4116
70,9.3158,0.0
71,9.1833,0.6133
72,9.1348,0.5338
73,9.0046,0.6724
74,8.7007,0.9023
75,8.4,1.0471
76,8.1281,1.0334
77,7.8993,0.7503
78,7.7859,0.677
79,7.6882,0.3808
80,7.4,0.0
81,6.9566,0.2823
82,6.6284,0.4456
83,6.2252,0.4834
84,5.7942,0.4401
85,5.4835,0.4533
86,5.316,0.5686
87,5.3212,0.7179
88,5.4409,0.5799
89,5.5223,0.2981
90,5.6667,0.0
91,5.4715,0.4266
92,5.234,0.6046
93,5.0123,0.4302
94,4.7791,0.7087
95,4.7597,0.7953
96,4.6772,0.7873
97,4.6042,0.5893
98,4.5374,0.4981
99,4.4102,0.3142
100,4.0909,0.0
101,3.6307,0.1567
102,3.6682,0.3656
103,3.6049,0.3538
104,3.5975,0.3073
105,3.5704,0.2115
106,3.3201,0.364
107,3.0497,0.4832
108,3.038,0.421
109,3.041,0.3005
110,3.3768,0.0
111,3.3691,0.24
112,3.3748,0.4135
113,3.3128,0.552
114,3.2901,0.8058
115,3.1229,0.7188
116,3.049,0.7025
117,3.0487,0.6245
118,3.1092,0.594
119,3.0423,0.2659
120,3.0,0.0
121,2.991,0.2855
122,2.8538,0.3588
123,2.7801,0.3783
124,2.6774,0.3736
125,2.5461,0.4109
126,2.4246,0.4865
127,2.1783,0.4556
128,2.1497,0.3986
129,2.3416,0.2763
130,2.6851,0.1385
131,2.5943,0.485
132,2.6188,0.5329
133,2.5773,0.5477
134,2.5186,0.3568
135,2.6671,0.2917
136,2.6513,0.3885
137,2.6686,0.5148
138,2.5015,0.4142
139,2.485,0.3132
140,2.3333,0.0
141,2.4889,0.0677
142,2.6289,0.0252
143,2.7695,0.0262
144,2.8708,0.2484
145,2.9604,0.3427
146,2.9146,0.4862
147,2.7182,0.5351
148,2.6171,0.3847
149,2.6569,0.2442
150,2.834,0.2448
151,2.7111,0.5597
152,2.8043,0.4763
153,2.791,0.5306
154,2.8966,0.526
155,2.9556,0.4686
156,3.056,0.4937
157,3.154,0.4699
158,3.2276,0.4544
159,3.1491,0.2258
160,3.2421,0.2249
161,3.4166,0.224
162,3.6808,0.337
163,3.8259,0.2865
164,4.0121,0.3533
165,4.1505,0.3825
166,4.293,0.3722
167,4.1324,0.4383
168,4.022,0.4015
169,3.9746,0.3107
170,3.9192,0.1715
171,4.0712,0.3608
172,4.2268,0.3623
173,4.3879,0.3637
174,4.602,0.457
175,4.6671,0.6372
176,4.6869,0.6107
177,4.6803,0.5887
178,4.682,0.4138
179,4.657,0.3026
180,4.7576,0.1636
181,4.7576,0.1636
182,4.7576,0.1636
183,4.7576,0.1636
184,4.7576,0.1636
185,4.7576,0.1636
186,4.7576,0.1636
187,4.7576,0.1636
188,4.7576,0.1636
189,4.7576,0.1636
190,4.7576,0.1636
191,4.7576,0.1636
192,4.7576,0.1636
193,4.7576,0.1636
194,4.7576,0.1636
195,4.7576,0.1636
196,4.7576,0.1636
197,4.7576,0.1636
198,4.7576,0.1636
199,4.7576,0.1636
200,4.7576,0.1636
