post_change_flow,mape_mean,mape_std
1,30.5703,0.2579
2,29.4531,0.2546
3,28.3542,0.2514
4,27.2729,0.2484
5,26.209,0.2455
6,25.162,0.2426
7,24.1315,0.2399
8,23.1171,0.2372
9,22.1185,0.2346
10,21.1352,0.2321
11,20.167,0.2297
12,19.2135,0.2273
13,18.2743,0.225
14,17.3491,0.2228
15,16.4378,0.2207
16,15.5397,0.2186
17,14.6548,0.2166
18,13.7828,0.2146
19,12.9233,0.2127
20,12.0761,0.2109
21,11.2409,0.209
22,10.4176,0.2073
23,9.6057,0.2056
24,8.8051,0.204
25,8.0156,0.2023
26,7.2369,0.2008
27,6.4689,0.1992
28,5.7111,0.1978
29,4.9636,0.1963
30,4.2261,0.1949
31,3.4983,0.1935
32,2.7802,0.1922
33,2.0714,0.1909
34,1.3719,0.1896
35,0.7073,0.1542
36,0.1115,0.2659
37,0.6733,0.186
38,1.3377,0.1848
39,1.9938,0.1837
40,2.6417,0.1826
41,3.2815,0.1815
42,3.9135,0.1804
43,4.5376,0.1794
44,5.1542,0.1784
45,5.7632,0.1774
46,6.3649,0.1764
47,6.9594,0.1754
48,7.5468,0.1745
49,8.1273,0.1736
50,8.7008,0.1727
51,9.2678,0.1718
52,9.828,0.171
53,10.3819,0.1701
54,10.9293,0.1693
55,11.4705,0.1685
56,12.0055,0.1677
57,12.5345,0.1669
58,13.0576,0.1661
59,13.5747,0.1653
60,14.0862,0.1646
61,14.592,0.1639
62,15.0922,0.1631
63,15.5869,0.1624
64,16.0763,0.1617
65,16.5603,0.161
66,17.0392,0.1604
67,17.5129,0.1597
68,17.9816,0.159
69,18.4453,0.1584
70,18.9042,0.1577
71,19.3582,0.1571
72,19.8075,0.1565
73,20.2521,0.1559
74,20.6922,0.1553
75,21.1277,0.1547
76,21.5588,0.1541
77,21.9855,0.1535
78,22.4079,0.1529
79,22.8261,0.1523
80,23.24,0.1518
81,23.6498,0.1513
82,24.0556,0.1507
83,24.4574,0.1502
84,24.8552,0.1496
85,25.2492,0.1491
86,25.6393,0.1486
87,26.0256,0.1481
88,26.4083,0.1475
89,26.7873,0.147
90,27.1626,0.1465
91,27.5344,0.146
92,27.9027,0.1456
93,28.2675,0.1451
94,28.6289,0.1446
95,28.987,0.1441
96,29.3417,0.1436
97,29.6932,0.1432
98,30.0414,0.1427
99,30.3864,0.1423
100,30.7284,0.1418
101,31.0672,0.1414
102,31.4029,0.1409
103,31.7357,0.1405
104,32.0655,0.14
105,32.3923,0.1396
106,32.7162,0.1392
107,33.0374,0.1388
108,33.3556,0.1383
109,33.6711,0.1379
110,33.9839,0.1375
111,34.2939,0.1371
112,34.6012,0.1367
113,34.906,0.1363
114,35.2081,0.1359
115,35.5076,0.1355
116,35.8046,0.1351
117,36.0991,0.1347
118,36.3911,0.1343
119,36.6807,0.1339
120,36.9678,0.1336
121,37.2526,0.1332
122,37.5351,0.1328
123,37.8152,0.1324
124,38.0929,0.1321
125,38.3685,0.1317
126,38.6418,0.1313
127,38.9128,0.131
128,39.1817,0.1306
129,39.4485,0.1302
130,39.713,0.1299
131,39.9755,0.1295
132,40.2359,0.1292
133,40.4942,0.1289
134,40.7506,0.1285
135,41.0048,0.1281
136,41.2571,0.1278
137,41.5074,0.1275
138,41.7559,0.1271
139,42.0023,0.1268
140,42.2469,0.1265
141,42.4896,0.1261
142,42.7304,0.1258
143,42.9695,0.1255
144,43.2066,0.1251
145,43.4421,0.1248
146,43.6757,0.1245
147,43.9076,0.1242
148,44.1378,0.1239
149,44.3662,0.1235
150,44.593,0.1232
151,44.818,0.1229
152,45.0414,0.1226
153,45.2633,0.1223
154,45.4834,0.122
155,45.702,0.1217
156,45.9189,0.1214
157,46.1344,0.1211
158,46.3482,0.1208
159,46.5605,0.1205
160,46.7608,0.1307
161,46.9596,0.1544
162,47.1571,0.1861
163,47.3532,0.2223
164,47.5478,0.261
165,47.7411,0.301
166,47.933,0.3418
167,48.1236,0.383
168,48.3129,0.4245
169,48.5009,0.466
170,48.6875,0.5075
171,48.8729,0.5489
172,49.057,0.5902
173,49.2398,0.6313
174,49.4215,0.6723
175,49.6018,0.713
176,49.781,0.7535
177,49.9589,0.7939
178,50.1357,0.834
179,50.3113,0.8739
180,50.4674,0.9115
181,50.4674,0.9115
182,50.4674,0.9115
183,50.4674,0.9115
184,50.4674,0.9115
185,50.4674,0.9115
186,50.4674,0.9115
187,50.4674,0.9115
188,50.4674,0.9115
189,50.4674,0.9115
190,50.4674,0.9115
191,50.4674,0.9115
192,50.4674,0.9115
193,50.4674,0.9115
194,50.4674,0.9115
195,50.4674,0.9115
196,50.4674,0.9115
197,50.4674,0.9115
198,50.4674,0.9115
199,50.4674,0.9115
200,50.4674,0.9115
