post_change_flow,mape_mean,mape_std
1,30.5326,0.0
2,29.4171,0.0
3,28.3198,0.0
4,27.2401,0.0
5,26.1778,0.0
6,25.1323,0.0
7,25.3543,0.0
8,25.5729,0.0
9,25.7881,0.0
10,26.0,0.0
11,25.1777,0.4331
12,24.4882,0.5897
13,23.9883,1.0415
14,23.4959,1.481
15,23.1284,1.8646
16,22.4743,1.9365
17,21.9457,1.5603
18,21.5974,1.1281
19,21.3685,0.56
20,21.1429,0.0
21,20.357,0.3381
22,19.4703,0.3357
23,18.5959,0.3334
24,17.8442,0.4414
25,16.9931,0.4383
26,16.5891,0.6346
27,16.5148,0.4953
28,16.5488,0.3221
29,16.689,0.0
30,16.9333,0.0
31,16.5956,0.5235
32,16.2102,0.6835
33,15.622,0.7684
34,15.0931,0.9286
35,14.6222,1.1866
36,14.1065,1.3769
37,14.1737,1.2751
38,14.3407,0.8924
39,14.6555,0.4896
40,14.8174,0.2979
41,14.5332,0.379
42,14.2524,0.4386
43,13.9751,0.3744
44,13.6528,0.3721
45,13.3825,0.4198
46,13.259,0.4386
47,13.7555,0.3397
48,14.246,0.0
49,14.8718,0.0
50,15.4902,0.0
51,15.451,0.4258
52,15.3198,0.4619
53,15.236,0.6413
54,15.062,0.8615
55,14.8898,0.9726
56,14.7197,1.0134
57,14.9106,0.7966
58,15.2778,0.5988
59,15.6853,0.4067
60,15.9117,0.2648
61,15.6089,0.2633
62,15.3968,0.3904
63,15.187,0.4676
64,14.9795,0.4403
65,14.8171,0.4097
66,14.7419,0.4185
67,15.0074,0.3679
68,15.3969,0.1842
69,15.9083,0.0
70,16.4143,0.1822
71,16.3744,0.3602
72,16.2934,0.4896
73,16.1722,0.643
74,16.175,0.7972
75,16.0556,0.9598
76,15.8968,0.9384
77,16.022,0.7609
78,16.2262,0.5383
79,16.6278,0.3808
80,16.7872,0.2384
81,16.5498,0.3036
82,16.2753,0.3021
83,16.0427,0.2475
84,15.8124,0.2991
85,15.7005,0.3356
86,15.6669,0.3837
87,15.9407,0.3324
88,16.2882,0.1665
89,16.7844,0.1657
90,17.2003,0.1649
91,17.1604,0.4038
92,17.1208,0.5014
93,17.1189,0.573
94,17.1542,0.8167
95,17.1152,1.0294
96,17.0766,1.0377
97,17.075,0.8625
98,17.292,0.6054
99,17.5071,0.3609
100,17.5036,0.2167
101,17.2843,0.2761
102,17.0671,0.3201
103,16.923,0.3398
104,16.6739,0.3383
105,16.4976,0.3787
106,16.393,0.3497
107,16.6745,0.28
108,17.058,0.2091
109,17.4728,0.1512
110,17.8841,0.2185
111,17.7071,0.2998
112,17.7713,0.4037
113,17.8009,0.5896
114,17.8642,0.8426
115,17.8931,1.1233
116,17.7872,1.0645
117,17.8162,0.832
118,18.0119,0.5372
119,18.1395,0.3257
120,18.1005,0.1986
121,17.864,0.1978
122,17.6295,0.197
123,17.495,0.2511
124,17.3078,0.2583
125,17.2293,0.3093
126,17.2846,0.2559
127,17.386,0.3582
128,17.7356,0.2563
129,18.0825,0.1914
130,18.4267,0.201
131,18.3926,0.3425
132,18.2754,0.3861
133,18.2708,0.3831
134,18.262,0.3976
135,18.3455,0.5169
136,18.4247,0.5105
137,18.4942,0.4229
138,18.5657,0.2766
139,18.6752,0.1745
140,18.6584,0.0199
141,18.7358,0.0197
142,18.8183,0.0274
143,18.8973,0.0301
144,18.9758,0.0322
145,19.0591,0.0278
146,19.1499,0.0271
147,19.2617,0.0216
148,19.3889,0.0216
149,19.5124,0.0192
150,19.6269,0.0117
151,19.706,0.016
152,19.7871,0.0243
153,19.8625,0.0351
154,19.9372,0.0425
155,20.0244,0.0532
156,20.1085,0.0556
157,20.2102,0.0511
158,20.319,0.0382
159,20.4269,0.0254
160,20.5161,0.0184
161,20.5841,0.0224
162,20.649,0.0223
163,20.7185,0.0228
164,20.7825,0.0227
165,20.8511,0.0273
166,20.9344,0.0252
167,21.0372,0.0231
168,21.1418,0.0179
169,21.2532,0.0179
170,21.3513,0.0149
171,21.4265,0.0253
172,21.5086,0.0359
173,21.5802,0.0465
174,21.6514,0.0587
175,21.7245,0.0683
176,21.7922,0.0695
177,21.8814,0.0578
178,21.9676,0.0403
179,22.0531,0.0242
180,22.1093,0.039
181,22.1093,0.039
182,22.1093,0.039
183,22.1093,0.039
184,22.1093,0.039
185,22.1093,0.039
186,22.1093,0.039
187,22.1093,0.039
188,22.1093,0.039
189,22.1093,0.039
190,22.1093,0.039
191,22.1093,0.039
192,22.1093,0.039
193,22.1093,0.039
194,22.1093,0.039
195,22.1093,0.039
196,22.1093,0.039
197,22.1093,0.039
198,22.1093,0.039
199,22.1093,0.039
200,22.1093,0.039
