scenario,algo,algo_label,run_id,n_qos_flows,n_decisions,n_timing,throughput_mean,throughput_std,throughput_min,throughput_max,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,jitter_mean_ms,jitter_std_ms,jitter_p95_ms,packet_loss_mean,packet_loss_max,latency_mdev_mean,latency_pre_ms,latency_post_ms,jitter_pre_ms,jitter_post_ms,throughput_pre,throughput_post,loss_pre_pct,loss_post_pct,flow_setup_mean_ms,flow_setup_std_ms,flow_setup_p50_ms,flow_setup_p95_ms,flow_setup_p99_ms,flow_setup_max_ms,end_mape,end_jfi_c,n_flows
steady,saintelague,Sainte-Lague,1,11,0,0,3.1444,0.0010382677881933982,3.1434,3.1456,13.596272727272726,4.14400465952704,13.72,19.241500000000002,19.3035,0.0,0.0,0.0,0.06754545454545455,0.0743,0.0,13.596272727272726,13.596272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,2,11,0,0,3.144636363636364,0.0009759843515884293,3.1435,3.1455,13.834363636363637,4.239802383902515,13.209,18.802,19.5484,0.0,0.0,0.0,0.04728181818181818,0.0743,0.0,13.834363636363637,13.834363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,3,11,0,0,3.144081818181818,0.0007180782433944512,3.1436,3.1455,18.194545454545455,2.5051285940500687,19.46,20.142,20.1428,0.0,0.0,0.0,0.0607909090909091,0.0743,0.0,18.194545454545455,18.194545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,4,11,0,0,3.1441363636363637,0.0008902502201884132,3.1433,3.1455,18.326272727272727,6.027380809122799,19.307,25.7065,30.261300000000002,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,18.326272727272727,18.326272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,5,11,0,0,3.1448272727272726,0.0009950787999861556,3.1435,3.1456,14.211454545454545,3.760335898922764,13.849,19.985500000000002,20.0211,0.0,0.0,0.0,0.033772727272727274,0.0743,0.0,14.211454545454545,14.211454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,6,11,0,0,3.1455272727272727,6.466697906822301e-05,3.1454,3.1456,12.376818181818182,3.76298673444863,13.654,16.4795,16.840700000000002,0.0,0.0,0.0,0.020263636363636366,0.0743,0.0,12.376818181818182,12.376818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,7,11,0,0,3.1451727272727275,0.000829567247534363,3.1434,3.1456,13.338636363636363,5.418706511202231,13.428,19.9395,20.040699999999998,0.0,0.0,0.0,0.02701818181818182,0.0743,0.0,13.338636363636363,13.338636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,8,11,0,0,3.1451454545454545,0.0008153080845467969,3.1435,3.1456,15.247909090909092,2.2676252536318895,15.685,18.1685,19.0049,0.0,0.0,0.0,0.02701818181818182,0.0743,0.0,15.247909090909092,15.247909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,9,11,0,0,3.1448,0.000993981891183172,3.1434,3.1456,13.884727272727272,4.056794303163745,13.296,19.1085,19.2721,0.0,0.0,0.0,0.02701818181818182,0.0743,0.0,13.884727272727272,13.884727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,10,11,0,0,3.1444636363636365,0.0009992724626174416,3.1433,3.1456,16.821,7.89886994449206,19.25,26.869,31.917800000000007,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,16.821,16.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,saintelague,Sainte-Lague,11,11,0,0,3.1455636363636366,5.0452497910833715e-05,3.1455,3.1456,14.695181818181817,2.8329269252199856,13.672,18.851,18.941399999999998,0.0,0.0,0.0,0.020263636363636366,0.0743,0.0,14.695181818181817,14.695181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
