scenario,metric,algo_1,algo_2,label_1,label_2,mean_1,std_1,mean_2,std_2,p_value,cliff_delta,effect_size,significant,n1,n2
steady,end_mape,saintelague,wrr,Sainte-Laguë,WRR,0.0744,0.1933,1.2362,4.2103,0.447284,-0.1378,negligible,False,15,15
steady,end_mape,saintelague,iwrr,Sainte-Laguë,IWRR,0.0744,0.1933,0.0,0.0,0.246591,0.1333,negligible,False,15,15
steady,end_mape,saintelague,wlc,Sainte-Laguë,WLC,0.0744,0.1933,0.0,0.0,0.246591,0.1333,negligible,False,15,15
steady,end_mape,wrr,iwrr,WRR,IWRR,1.2362,4.2103,0.0,0.0,0.115059,0.2667,small,False,15,15
steady,end_mape,wrr,wlc,WRR,WLC,1.2362,4.2103,0.0,0.0,0.115059,0.2667,small,False,15,15
steady,end_mape,iwrr,wlc,IWRR,WLC,0.0,0.0,0.0,0.0,1.0,0.0,negligible,False,15,15
steady,end_jfi_c,saintelague,wrr,Sainte-Laguë,WRR,1.0,0.0,0.9966,0.0126,0.447284,0.1378,negligible,False,15,15
steady,end_jfi_c,saintelague,iwrr,Sainte-Laguë,IWRR,1.0,0.0,1.0,0.0,0.246591,-0.1333,negligible,False,15,15
steady,end_jfi_c,saintelague,wlc,Sainte-Laguë,WLC,1.0,0.0,1.0,0.0,0.246591,-0.1333,negligible,False,15,15
steady,end_jfi_c,wrr,iwrr,WRR,IWRR,0.9966,0.0126,1.0,0.0,0.115059,-0.2667,small,False,15,15
steady,end_jfi_c,wrr,wlc,WRR,WLC,0.9966,0.0126,1.0,0.0,0.115059,-0.2667,small,False,15,15
steady,end_jfi_c,iwrr,wlc,IWRR,WLC,1.0,0.0,1.0,0.0,1.0,0.0,negligible,False,15,15
single_change,change1_recovery_flows,saintelague,wrr,Sainte-Laguë,WRR,88.75,3.8714,-1.0,0.0,0.0,1.0,large,True,20,20
single_change,change1_recovery_flows,saintelague,iwrr,Sainte-Laguë,IWRR,88.75,3.8714,-1.0,0.0,0.0,1.0,large,True,20,20
single_change,change1_recovery_flows,saintelague,wlc,Sainte-Laguë,WLC,88.75,3.8714,29.05,0.2179,0.0,1.0,large,True,20,20
single_change,change1_recovery_flows,wrr,iwrr,WRR,IWRR,-1.0,0.0,-1.0,0.0,1.0,0.0,negligible,False,20,20
single_change,change1_recovery_flows,wrr,wlc,WRR,WLC,-1.0,0.0,29.05,0.2179,0.0,-1.0,large,True,20,20
single_change,change1_recovery_flows,iwrr,wlc,IWRR,WLC,-1.0,0.0,29.05,0.2179,0.0,-1.0,large,True,20,20
single_change,change1_recovery_time_s,saintelague,wrr,Sainte-Laguë,WRR,32.9065,0.2107,-1.0,0.0,0.0,1.0,large,True,20,20
single_change,change1_recovery_time_s,saintelague,iwrr,Sainte-Laguë,IWRR,32.9065,0.2107,-1.0,0.0,0.0,1.0,large,True,20,20
single_change,change1_recovery_time_s,saintelague,wlc,Sainte-Laguë,WLC,32.9065,0.2107,8.164,0.0449,0.0,1.0,large,True,20,20
single_change,change1_recovery_time_s,wrr,iwrr,WRR,IWRR,-1.0,0.0,-1.0,0.0,1.0,0.0,negligible,False,20,20
single_change,change1_recovery_time_s,wrr,wlc,WRR,WLC,-1.0,0.0,8.164,0.0449,0.0,-1.0,large,True,20,20
single_change,change1_recovery_time_s,iwrr,wlc,IWRR,WLC,-1.0,0.0,8.164,0.0449,0.0,-1.0,large,True,20,20
single_change,change1_cde,saintelague,wrr,Sainte-Laguë,WRR,9.45,0.1144,18.1718,0.1354,0.0,-1.0,large,True,20,20
single_change,change1_cde,saintelague,iwrr,Sainte-Laguë,IWRR,9.45,0.1144,15.7135,0.3904,0.0,-1.0,large,True,20,20
single_change,change1_cde,saintelague,wlc,Sainte-Laguë,WLC,9.45,0.1144,27.2056,0.6217,0.0,-1.0,large,True,20,20
single_change,change1_cde,wrr,iwrr,WRR,IWRR,18.1718,0.1354,15.7135,0.3904,0.0,1.0,large,True,20,20
single_change,change1_cde,wrr,wlc,WRR,WLC,18.1718,0.1354,27.2056,0.6217,0.0,-1.0,large,True,20,20
single_change,change1_cde,iwrr,wlc,IWRR,WLC,15.7135,0.3904,27.2056,0.6217,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n50,saintelague,wrr,Sainte-Laguë,WRR,13.8235,0.0,15.4902,0.0,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n50,saintelague,iwrr,Sainte-Laguë,IWRR,13.8235,0.0,18.4479,0.2126,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n50,saintelague,wlc,Sainte-Laguë,WLC,13.8235,0.0,8.7008,0.1727,0.0,1.0,large,True,20,20
single_change,change1_mape_at_n50,wrr,iwrr,WRR,IWRR,15.4902,0.0,18.4479,0.2126,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n50,wrr,wlc,WRR,WLC,15.4902,0.0,8.7008,0.1727,0.0,1.0,large,True,20,20
single_change,change1_mape_at_n50,iwrr,wlc,IWRR,WLC,18.4479,0.2126,8.7008,0.1727,0.0,1.0,large,True,20,20
single_change,change1_mape_at_n100,saintelague,wrr,Sainte-Laguë,WRR,4.0909,0.0,17.5036,0.2167,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n100,saintelague,iwrr,Sainte-Laguë,IWRR,4.0909,0.0,11.36,0.1454,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n100,saintelague,wlc,Sainte-Laguë,WLC,4.0909,0.0,30.7284,0.1418,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n100,wrr,iwrr,WRR,IWRR,17.5036,0.2167,11.36,0.1454,0.0,1.0,large,True,20,20
single_change,change1_mape_at_n100,wrr,wlc,WRR,WLC,17.5036,0.2167,30.7284,0.1418,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n100,iwrr,wlc,IWRR,WLC,11.36,0.1454,30.7284,0.1418,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n200,saintelague,wrr,Sainte-Laguë,WRR,4.7576,0.1636,22.1093,0.039,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n200,saintelague,iwrr,Sainte-Laguë,IWRR,4.7576,0.1636,11.0743,1.0564,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n200,saintelague,wlc,Sainte-Laguë,WLC,4.7576,0.1636,50.4674,0.9115,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n200,wrr,iwrr,WRR,IWRR,22.1093,0.039,11.0743,1.0564,0.0,1.0,large,True,20,20
single_change,change1_mape_at_n200,wrr,wlc,WRR,WLC,22.1093,0.039,50.4674,0.9115,0.0,-1.0,large,True,20,20
single_change,change1_mape_at_n200,iwrr,wlc,IWRR,WLC,11.0743,1.0564,50.4674,0.9115,0.0,-1.0,large,True,20,20
single_change,end_mape,saintelague,wrr,Sainte-Laguë,WRR,4.7576,0.1636,22.1093,0.039,0.0,-1.0,large,True,20,20
single_change,end_mape,saintelague,iwrr,Sainte-Laguë,IWRR,4.7576,0.1636,11.0743,1.0564,0.0,-1.0,large,True,20,20
single_change,end_mape,saintelague,wlc,Sainte-Laguë,WLC,4.7576,0.1636,50.4674,0.9115,0.0,-1.0,large,True,20,20
single_change,end_mape,wrr,iwrr,WRR,IWRR,22.1093,0.039,11.0743,1.0564,0.0,1.0,large,True,20,20
single_change,end_mape,wrr,wlc,WRR,WLC,22.1093,0.039,50.4674,0.9115,0.0,-1.0,large,True,20,20
single_change,end_mape,iwrr,wlc,IWRR,WLC,11.0743,1.0564,50.4674,0.9115,0.0,-1.0,large,True,20,20
frequent_changes,change1_recovery_flows,saintelague,wrr,Sainte-Laguë,WRR,61.7,10.7009,-1.0,0.0,0.0,1.0,large,True,20,20
frequent_changes,change1_recovery_flows,saintelague,iwrr,Sainte-Laguë,IWRR,61.7,10.7009,-1.0,0.0,0.0,1.0,large,True,20,20
frequent_changes,change1_recovery_flows,saintelague,wlc,Sainte-Laguë,WLC,61.7,10.7009,20.0,0.0,0.0,1.0,large,True,20,19
frequent_changes,change1_recovery_flows,wrr,iwrr,WRR,IWRR,-1.0,0.0,-1.0,0.0,1.0,0.0,negligible,False,20,20
frequent_changes,change1_recovery_flows,wrr,wlc,WRR,WLC,-1.0,0.0,20.0,0.0,0.0,-1.0,large,True,20,19
frequent_changes,change1_recovery_flows,iwrr,wlc,IWRR,WLC,-1.0,0.0,20.0,0.0,0.0,-1.0,large,True,20,19
